Attendance Area,School,Count
STEM K-8,Whitman,1
Bryant,Bryant,440
Bryant,Decatur,41
Bryant,Thornton Creek,34
Bryant,John Stanford Intl,9
Bryant,Laurelhurst,8
Bryant,Queen Anne,7
Bryant,McDonald Intl,6
Bryant,Sand Point,6
Bryant,Cascade Parent Partnership,4
Bryant,Hazel Wolf K-8,4
Bryant,Wedgwood,3
Bryant,Daniel Bagley,2
Bryant,View Ridge,2
Bryant,Genesee Hill,1
Bryant,Green Lake,1
Bryant,John Rogers,1
Green Lake,Green Lake,292
Green Lake,McDonald Intl,247
Green Lake,John Stanford Intl,166
Green Lake,Cascadia,33
Green Lake,Thornton Creek,20
Green Lake,Hazel Wolf K-8,16
Green Lake,Queen Anne,16
Green Lake,B.F. Day,8
Green Lake,Salmon Bay K-8,6
Green Lake,Cascade Parent Partnership,5
Green Lake,Daniel Bagley,5
Green Lake,View Ridge,3
Green Lake,Sacajawea,2
Green Lake,South Shore PK-8,2
Green Lake,TOPS K-8,2
Green Lake,Whittier,2
Green Lake,Beacon Hill Intl,1
Green Lake,Cedar Park,1
Green Lake,Decatur,1
Green Lake,Laurelhurst,1
Green Lake,Non Public Agencies,1
Green Lake,Priv/Paroch Sped,1
Green Lake,STEM K-8,1
Green Lake,Wedgwood,1
Laurelhurst,Laurelhurst,204
Laurelhurst,Decatur,26
Laurelhurst,Thornton Creek,15
Laurelhurst,McDonald Intl,9
Laurelhurst,John Stanford Intl,7
Laurelhurst,TOPS K-8,4
Laurelhurst,Cascade Parent Partnership,3
Laurelhurst,Queen Anne,3
Laurelhurst,Bailey Gatzert,2
Laurelhurst,Sand Point,2
Laurelhurst,View Ridge,2
Laurelhurst,Cedar Park,1
Laurelhurst,Daniel Bagley,1
Laurelhurst,Exp. Ed. Unit,1
Laurelhurst,Hazel Wolf K-8,1
Laurelhurst,Licton Springs K-8,1
Laurelhurst,Non Public Agencies,1
Laurelhurst,Olympic View,1
Sand Point,Sand Point,155
Sand Point,Thornton Creek,48
Sand Point,Decatur,22
Sand Point,View Ridge,16
Sand Point,Laurelhurst,11
Sand Point,Hazel Wolf K-8,5
Sand Point,Queen Anne,4
Sand Point,Bryant,3
Sand Point,McDonald Intl,3
Sand Point,TOPS K-8,3
Sand Point,John Stanford Intl,2
Sand Point,Olympic Hills,2
Sand Point,Wing Luke,2
Sand Point,Cedar Park,1
Sand Point,Exp. Ed. Unit,1
Sand Point,Licton Springs K-8,1
Sand Point,Viewlands,1
Sand Point,Wedgwood,1
View Ridge,View Ridge,311
View Ridge,Thornton Creek,144
View Ridge,Decatur,70
View Ridge,John Stanford Intl,10
View Ridge,Sand Point,8
View Ridge,John Rogers,6
View Ridge,Wedgwood,6
View Ridge,McDonald Intl,5
View Ridge,Queen Anne,5
View Ridge,Hazel Wolf K-8,3
View Ridge,Cascade Parent Partnership,2
View Ridge,Cedar Park,2
View Ridge,Exp. Ed. Unit,2
View Ridge,Green Lake,1
Wedgwood,Wedgwood,367
Wedgwood,Thornton Creek,86
Wedgwood,Decatur,33
Wedgwood,Hazel Wolf K-8,12
Wedgwood,John Stanford Intl,8
Wedgwood,Queen Anne,8
Wedgwood,View Ridge,6
Wedgwood,Bryant,4
Wedgwood,Cascadia,4
Wedgwood,Laurelhurst,4
Wedgwood,Cedar Park,3
Wedgwood,Priv/Paroch Sped,2
Wedgwood,Cascade Parent Partnership,1
Wedgwood,John Rogers,1
Wedgwood,Licton Springs K-8,1
Wedgwood,McDonald Intl,1
Wedgwood,Olympic Hills,1
