Attending School,Live Location,Count
John Stanford Intl,McGilvra,3
John Stanford Intl,North Beach,3
John Stanford Intl,Olympic Hills,3
John Stanford Intl,Dearborn Park Intl,2
John Stanford Intl,Greenwood,2
John Stanford Intl,John Muir,2
John Stanford Intl,Kimball,2
John Stanford Intl,Sand Point,2
John Stanford Intl,Concord Intl,1
John Stanford Intl,Emerson,1
John Stanford Intl,Genesee Hill,1
John Stanford Intl,Hawthorne,1
John Stanford Intl,Lafayette,1
West Woodland,West Woodland,380
West Woodland,Whittier,10
West Woodland,B.F. Day,4
West Woodland,Greenwood,3
West Woodland,Out of District/Unknown,2
West Woodland,Adams,1
West Woodland,Broadview-Thomson K-8,1
West Woodland,Maple,1
West Woodland,North Beach,1
McDonald Intl,Green Lake,247
McDonald Intl,B. F. Day,19
McDonald Intl,Daniel Bagley,15
McDonald Intl,Olympic View,15
McDonald Intl,Sacajawea,15
McDonald Intl,North Beach,11
McDonald Intl,West Woodland,11
McDonald Intl,Broadview-Thomson K-8,10
McDonald Intl,John Rogers,10
McDonald Intl,Whittier,10
McDonald Intl,Adams,9
McDonald Intl,Laurelhurst,9
McDonald Intl,Loyal Heights,7
McDonald Intl,Northgate,7
McDonald Intl,Viewlands,7
McDonald Intl,Bryant,6
McDonald Intl,Greenwood,6
McDonald Intl,View Ridge,5
McDonald Intl,Olympic Hills,4
McDonald Intl,Beacon Hill Intl,3
McDonald Intl,Lawton,3
McDonald Intl,Lowell,3
McDonald Intl,Magnolia,3
McDonald Intl,McGilvra,3
McDonald Intl,Sand Point,3
McDonald Intl,Coe,2
McDonald Intl,John Hay,2
McDonald Intl,Montlake,2
McDonald Intl,Stevens,2
McDonald Intl,Gatewood,1
McDonald Intl,Madrona,1
McDonald Intl,Roxhill,1
McDonald Intl,Wedgwood,1
McDonald Intl,Wing Luke,1
West Woodland,West Woodland,380
West Woodland,Whittier,10
West Woodland,B.F. Day,4
West Woodland,Greenwood,3
West Woodland,Out of District/Unknown,2
West Woodland,Adams,1
West Woodland,Broadview-Thomson K-8,1
West Woodland,Maple,1
West Woodland,North Beach,1
Cedar Park,John Rogers,79
Cedar Park,Olympic Hills,55
Cedar Park,Olympic View,12
Cedar Park,Sacajawea,12
Cedar Park,Northgate,9
Cedar Park,Out of District/Unknown,4
Cedar Park,Broadview-Thomson K-8,4
Cedar Park,Viewlands,3
Cedar Park,Wedgwood,3
Cedar Park,View Ridge,2
Cedar Park,B.F. Day,1
Cedar Park,Green Lake,1
Cedar Park,Laurelhurst,1
Cedar Park,Sand Point,1
John Rogers,John Rogers,243
John Rogers,Olympic View,6
John Rogers,View Ridge,6
John Rogers,Olympic Hills,5
John Rogers,Sacajawea,3
John Rogers,Out of District/Unknown,2
John Rogers,Bryant,1
John Rogers,Wedgwood,1
Olympic Hills,Olympic Hills,412
Olympic Hills,John Rogers,14
Olympic Hills,Olympic View,9
Olympic Hills,Out of District/Unknown,7
Olympic Hills,Sacajawea,4
Olympic Hills,Broadview-Thomson K-8,3
Olympic Hills,Daniel Bagley,3
Olympic Hills,Northgate,3
Olympic Hills,North Beach,2
Olympic Hills,Sand Point,2
Olympic Hills,Graham Hill,1
Olympic Hills,Wedgwood,1
Olympic View,Olympic View,337
Olympic View,Sacajawea,10
Olympic View,Viewlands,5
Olympic View,Broadview-Thomson K-8,2
Olympic View,John Rogers,2
Olympic View,Lowell,2
Olympic View,B.F. Day,1
Olympic View,Daniel Bagley,1
Olympic View,Laurelhurst,1
Olympic View,Northgate,1
Olympic View,Olympic Hills,1
Sacajawea,Sacajawea,138
Sacajawea,Olympic View,11
Sacajawea,Olympic Hills,5
Sacajawea,John Rogers,4
Sacajawea,Viewlands,3
Sacajawea,Green Lake,2
Sacajawea,Out of District/Unknown,1
Sacajawea,Wedgwood,1
Hazel Wolf K-8,Olympic View,131
Hazel Wolf K-8,Sacajawea,114
Hazel Wolf K-8,John Rogers,53
Hazel Wolf K-8,Olympic Hills,37
Hazel Wolf K-8,Northgate,28
Hazel Wolf K-8,Broadview-Thomson K-8,19
Hazel Wolf K-8,Green Lake,16
Hazel Wolf K-8,Wedgwood,12
Hazel Wolf K-8,Out of District/Unknown,8
Hazel Wolf K-8,Sand Point,5
Hazel Wolf K-8,Bryant,4
Hazel Wolf K-8,Daniel Bagley,4
Hazel Wolf K-8,Viewlands,4
Hazel Wolf K-8,View Ridge,3
Hazel Wolf K-8,Whittier,3
Hazel Wolf K-8,B.F. Day,1
Hazel Wolf K-8,Emerson,1
Hazel Wolf K-8,John Hay,1
Hazel Wolf K-8,Laurelhurst,1
Hazel Wolf K-8,Lawton,1
Hazel Wolf K-8,Loyal Heights,1
Hazel Wolf K-8,West Woodland,1
Alki,Alki,302
Alki,Fairmount Park,2
Alki,Gatewood,2
Alki,John Muir,2
Alki,Sanislo,2
Alki,Out of District/Unknown,1
Alki,Genesee Hill,1
Alki,Lafayette,1
Alki,West Seattle ES,1
Fairmount Park,Fairmount Park,348
Fairmount Park,Lafayette,15
Fairmount Park,Gatewood,14
Fairmount Park,Arbor Heights,11
Fairmount Park,Genesee Hill,9
Fairmount Park,Alki,8
Fairmount Park,West Seattle ES,5
Fairmount Park,Out of District/Unknowr,4
Fairmount Park,Sanislo,4
Fairmount Park,Roxhill,3
Fairmount Park,Highland Park,2
Fairmount Park,Northgate,1
Fairmount Park,Rainier View,1
Gatewood,Gatewood,325
Gatewood,Arbor Heights,4
Gatewood,West Seattle ES,4
Gatewood,Fairmount Park,3
Gatewood,Roxhill,3
Gatewood,Out of District/Unknown,2
Gatewood,Genesee Hill,2
Gatewood,Highland Park,2
Gatewood,Sanislo,2
Gatewood,Alki,1
Gatewood,Concord Intl,1
Genesee Hill,Genesee Hill,461
Genesee Hill,Lafayette,52
Genesee Hill,Fairmount Park,7
Genesee Hill,Gatewood,5
Genesee Hill,Highland Park,4
Genesee Hill,Arbor Heights,3
Genesee Hill,Alki,2
Genesee Hill,West Seattle ES,2
Genesee Hill,Bryant,1
Genesee Hill,Wing Luke,1
Lafayette,Lafayette,414
Lafayette,Gatewood,7
Lafayette,Alki,5
Lafayette,Genesee Hill,5
Lafayette,Fairmount Park,4
Lafayette,Out of District/Unknown,3
Lafayette,Roxhill,3
Lafayette,West Seattle ES,3
Lafayette,Arbor Heights,2
Lafayette,Highland Park,2
Pathfinder K-8,Lafayette,105
Pathfinder K-8,Fairmount Park,44
Pathfinder K-8,Sanislo,29
Pathfinder K-8,Gatewood,27
Pathfinder K-8,Arbor Heights,22
Pathfinder K-8,Roxhill,19
Pathfinder K-8,Genesee Hill,17
Pathfinder K-8,Highland Park,16
Pathfinder K-8,Concord Int,13
Pathfinder K-8,West Seattle ES,9
Pathfinder K-8,Alki,5
Pathfinder K-8,Kimball,5
Pathfinder K-8,Bailey Gatzert,2
Pathfinder K-8,Beacon Hill Intl,2
Pathfinder K-8,Out of District/Unknow,1
Pathfinder K-8,John Muir,1
Pathfinder K-8,Rising Star,1
Catharine Blaine K-8,Catharine Blaine K-8,220
Catharine Blaine K-8,Magnolia,32
Catharine Blaine K-8,Lawton,10
Catharine Blaine K-8,John Muir,2
Catharine Blaine K-8,Madrona,1
Catharine Blaine K-8,North Beach,1
Coe,Coe,437
Coe,Magnolia,3
Coe,Catharine Blaine K-8,1
Coe,Daniel Bagley,1
Coe,John Hay,1
Coe,Lawton,1
Coe,Northgate,1
John Hay,John Hay,264
John Hay,Coe,16
John Hay,Out of District/Unknown,7
John Hay,Lawton,5
John Hay,Lowell,5
John Hay,Magnolia,4
John Hay,Loyal Heights,2
John Hay,Catharine Blaine K-8,1
John Hay,Hawthorne,1
Lawton,Lawton,308
Lawton,Magnolia,15
Lawton,Catharine Blaine K-8,7
Lawton,Out of District/Unknown,1
Lawton,Adams,1
Lawton,Viewlands,1
Magnolia,Magnolia,283
Magnolia,Lawton,9
Magnolia,Catharine Blaine K-8,7
Magnolia,Coe,5
Magnolia,John Muir,2
Magnolia,Out of District/Unknown,1
Magnolia,Viewlands,1
Magnolia,West Woodland,1
Queen Anne K-5,John Hay,111
Queen Anne K-5,Lowell,31
Queen Anne K-5,Coe,28
Queen Anne K-5,Green Lake,16
Queen Anne K-5,Broadview-Thomson K-8,15
Queen Anne K-5,Viewlands,14
Queen Anne K-5,Kimball,13
Queen Anne K-5,West Seattle ES,13
Queen Anne K-5,Dearborn Park Intl,12
Queen Anne K-5,Rainier View,12
Queen Anne K-5,Maple,11
Queen Anne K-5,B.F. Day,10
Queen Anne K-5,Olympic Hills,9
Queen Anne K-5,Emerson,8
Queen Anne K-5,Graham Hill,8
Queen Anne K-5,Olympic View,8
Queen Anne K-5,Sacajawea,8
Queen Anne K-5,Wedgwood,8
Queen Anne K-5,Adams,7
Queen Anne K-5,Bryant,7
Queen Anne K-5,Concord Intl,7
Queen Anne K-5,Lawton,7
Queen Anne K-5,Arbor Heights,6
Queen Anne K-5,Beacon Hill Intl,6
Queen Anne K-5,Daniel Bagley,6
Queen Anne K-5,Fairmount Park,6
Queen Anne K-5,Genesee Hill,6
Queen Anne K-5,John Rogers,6
Queen Anne K-5,Rising Star,6
Queen Anne K-5,Roxhill,6
Queen Anne K-5,Lafayette,5
Queen Anne K-5,Montlake,5
Queen Anne K-5,Stevens,5
Queen Anne K-5,Thurgood Marshall,5
Queen Anne K-5,View Ridge,5
Queen Anne K-5,Wing Luke,5
Queen Anne K-5,Hawthorne,4
Queen Anne K-5,John Muir,4
Queen Anne K-5,Loyal Heights,4
Queen Anne K-5,Sand Point,4
Queen Anne K-5,Sanislo,4
Queen Anne K-5,Whittier,4
Queen Anne K-5,Out of District/Unknown,3
Queen Anne K-5,Catharine Blaine K-8,3
Queen Anne K-5,Dunlap,3
Queen Anne K-5,Highland Park,3
Queen Anne K-5,Laurelhurst,3
Queen Anne K-5,Madrona,3
Queen Anne K-5,Magnolia,3
Queen Anne K-5,West Woodland,3
Queen Anne K-5,Alki,3
Queen Anne K-5,Leschi,2
Queen Anne K-5,North Beach,2
Queen Anne K-5,Northgate,2
Queen Anne K-5,Bailey Gatzert,1
Queen Anne K-5,Gatewood,1
Queen Anne K-5,Greenwood,1
Queen Anne K-5,Martin Luther King,1
Queen Anne K-5,McGilvra,1
Leschi,Leschi,274
Leschi,Madrona,6
Leschi,Thurgood Marshall,6
Leschi,Bailey Gatzert,4
Leschi,Rainier View,4
Leschi,Out of District/Unknown,3
Leschi,John Muir,2
Leschi,Martin Luther King,2
Leschi,McGilvra,2
Leschi,Dunlap,1
Leschi,Hawthorne,1
Leschi,Kimball,1
Leschi,Lafayette,1
Leschi,Rising Star,1
Leschi,Roxhill,1
Leschi,Sanislo,1
Leschi,Wing Luke,1
Lowell,Lowell,243
Lowell,Madrona,5
Lowell,Stevens,5
Lowell,Out of District/Unknown,4
Lowell,Leschi,4
Lowell,Bailey Gatzert,3
Lowell,Rising Star,2
Lowell,Wing Luke,2
Lowell,Beacon Hill Intl,1
Lowell,Fairmount Park,1
Lowell,Graham Hill,1
Lowell,Greenwood,1
Lowell,Highland Park,1
Lowell,John Muir,1
Lowell,Lawton,1
Lowell,McGilvra,1
Lowell,Montlake,1
Lowell,Rainier View,1
Madrona,Madrona,185
Madrona,Leschi,6
Madrona,McGilvra,6
Madrona,Stevens,5
Madrona,Thurgood Marshall,5
Madrona,Bailey Gatzert,4
Madrona,Out of District/Unknown,2
Madrona,Lowell,2
Madrona,Dunlap,1
Madrona,Fairmount Park,1
McGilvra,McGilvra,212
McGilvra,Graham Hill,2
McGilvra,Leschi,2
McGilvra,Lowell,2
McGilvra,John Muir,1
McGilvra,Kimball,1
McGilvra,Madrona,1
McGilvra,Rainier View,1
McGilvra,Stevens,1
McGilvra,Thurgood Marshall,1
Montlake,Montlake,169
Montlake,Bailey Gatzert,4
Montlake,McGilvra,4
Montlake,Leschi,3
Montlake,Lowell,3
Montlake,Madrona,2
Montlake,Out of District/Unknown,1
Montlake,Maple,1
Stevens,Stevens,144
Stevens,Lowell,14
Stevens,Madrona,6
Stevens,McGilvra,5
Stevens,Bailey Gatzert,4
Stevens,John Muir,3
Stevens,Thurgood Marshall,3
Stevens,Lawton,2
Stevens,Beacon Hill Intl,1
Stevens,Graham Hill,1
Stevens,Greenwood,1
Stevens,Leschi,1
TOPS K-8,Lowell,81
TOPS K-8,Montlake,56
TOPS K-8,Madrona,22
TOPS K-8,Leschi,17
TOPS K-8,Bailey Gatzert,12
TOPS K-8,John Muir,11
TOPS K-8,McGilvra,10
TOPS K-8,Hawthorne,8
TOPS K-8,Maple,7
TOPS K-8,Stevens,6
TOPS K-8,Broadview-Thomson K-8,5
TOPS K-8,Out of District/Unknown,4
TOPS K-8,B.F. Day,4
TOPS K-8,Emerson,4
TOPS K-8,Laurelhurst,4
TOPS K-8,Daniel Bagley,3
TOPS K-8,Dearborn Park Intl,3
TOPS K-8,Graham Hill,3
TOPS K-8,Olympic View,3
TOPS K-8,Sacajawea,3
TOPS K-8,Sand Point,3
TOPS K-8,Whittier,3
TOPS K-8,Arbor Heights,2
TOPS K-8,Beacon Hill Intl,2
TOPS K-8,Concord Intl,2
TOPS K-8,Dunlap,2
TOPS K-8,Green Lake,2
TOPS K-8,Highland Park,2
TOPS K-8,Kimball,2
TOPS K-8,Olympic Hills,2
TOPS K-8,Sanislo,2
TOPS K-8,Thurgood Marshall,2
TOPS K-8,Viewlands,2
TOPS K-8,Wing Luke,2
TOPS K-8,Alki,1
TOPS K-8,Greenwood,1
TOPS K-8,John Hay,1
TOPS K-8,Martin Luther King,1
TOPS K-8,Rising Star,1
TOPS K-8,West Seattle ES,1
Beacon Hill Intl,Beacon Hill Intl,272
Beacon Hill Intl,Kimball,23
Beacon Hill Intl,Maple,10
Beacon Hill Intl,Out of District/Unknown,4
Beacon Hill Intl,Graham Hill,2
Beacon Hill Intl,Hawthorne,2
Beacon Hill Intl,John Muir,2
Beacon Hill Intl,Leschi,2
Beacon Hill Intl,Martin Luther King,2
Beacon Hill Intl,Thurgood Marshall,2
Beacon Hill Intl,Wing Luke,2
Beacon Hill Intl,Dunlap,1
Beacon Hill Intl,Gatewood,1
Beacon Hill Intl,Green Lake,1
Dearborn Park Intl,Dearborn Park Intl,224
Dearborn Park Intl,Hawthorne,14
Dearborn Park Intl,Rising Star,12
Dearborn Park Intl,John Muir,9
Dearborn Park Intl,Emerson,7
Dearborn Park Intl,Martin Luther King,6
Dearborn Park Intl,Graham Hill,4
Dearborn Park Intl,Alki,3
Dearborn Park Intl,Dunlap,2
Dearborn Park Intl,Kimball,2
Dearborn Park Intl,Rainier View,2
Dearborn Park Intl,Out of District/Unknown,1
Dearborn Park Intl,Maple,1
Maple,Maple,356
Maple,Dearborn Park Intl,51
Maple,Rising Star,17
Maple,Out of District/Unknown,4
Maple,Dunlap,3
Maple,Martin Luther King,2
Maple,Thurgood Marshall,2
Maple,Wing Luke,2
Maple,Beacon Hill Intl,1
Maple,Concord Intl,1
Maple,Emerson,1
Maple,Gatewood,1
Maple,Highland Park,1
Maple,John Muir,1
Maple,Rainier View,1
Rising Star,Rising Star,223
Rising Star,Wing Luke,28
Rising Star,Dunlap,9
Rising Star,Rainier View,7
Rising Star,Dearborn Park Intl,5
Rising Star,Kimball,5
Rising Star,Emerson,4
Rising Star,John Muir,3
Rising Star,Maple,3
Rising Star,Martin Luther King,2
Rising Star,Hawthorne,1
Broadview-Thomson K-8,Broadview-Thomson K-8,355
Broadview-Thomson K-8,Northgate,18
Broadview-Thomson K-8,Viewlands,7
Broadview-Thomson K-8,Out of District/Unknown,3
Broadview-Thomson K-8,Greenwood,3
Broadview-Thomson K-8,John Rogers,3
Broadview-Thomson K-8,Loyal Heights,3
Broadview-Thomson K-8,Olympic Hills,3
Broadview-Thomson K-8,B.F. Day,1
Broadview-Thomson K-8,North Beach,1
Broadview-Thomson K-8,Sacajawea,1
Cascadia,Loyal Heights,40
Cascadia,West Woodland,36
Cascadia,Green Lake,33
Cascadia,John Hay,30
Cascadia,Coe,29
Cascadia,Lawton,27
Cascadia,North Beach,27
Cascadia,B.F. Day,25
Cascadia,Greenwood,24
Cascadia,Daniel Bagley,23
Cascadia,Whittier,22
Cascadia,Olympic Hills,20
Cascadia,Adams,18
Cascadia,Catharine Blaine K-8,18
Cascadia,Broadview-Thomson K-8,17
Cascadia,Viewlands,17
Cascadia,John Rogers,15
Cascadia,Olympic View,15
Cascadia,Magnolia,12
Cascadia,Sacajawea,12
Cascadia,Northgate,11
Cascadia,Wedgwood,4
Cascadia,Beacon Hill Intl,1
Daniel Bagley,Daniel Bagley,275
Daniel Bagley,Viewlands,7
Daniel Bagley,West Woodland,6
Daniel Bagley,Broadview-Thomson K-8,5
Daniel Bagley,Green Lake,5
Daniel Bagley,Northgate,5
Daniel Bagley,B.F. Day,3
Daniel Bagley,Greenwood,3
Daniel Bagley,Out of District/Unknown,2
Daniel Bagley,Bryant,2
Daniel Bagley,Adams,1
Daniel Bagley,John Rogers,1
Daniel Bagley,Laurelhurst,1
Daniel Bagley,Lawton,1
Daniel Bagley,Loyal Heights,1
Daniel Bagley,North Beach,1
Daniel Bagley,Olympic Hills Olympic View,1
Daniel Bagley,Sacajawea,1
Greenwood,Greenwood,278
Greenwood,Broadview-Thomson K-8,7
Greenwood,Daniel Bagley,7
Greenwood,Viewlands,6
Greenwood,Adams,2
Greenwood,North Beach,2
Greenwood,Whittier,2
Greenwood,Out of District/Unknown,1
Greenwood,Olympic View,1
Greenwood,West Woodland,1
Northgate,Northgate,149
Northgate,Olympic View,9
Northgate,Broadview-Thomson K-8,8
Northgate,Viewlands,7
Northgate,Out of District/Unknown,3
Northgate,John Rogers,3
Northgate,North Beach,2
Northgate,Olympic Hills,2
Northgate,Greenwood,1
Northgate,Sacajawea,1
Bailey Gatzert,Bailey Gatzert,253
Bailey Gatzert,Lowell,9
Bailey Gatzert,Thurgood Marshall,8
Bailey Gatzert,Leschi,5
Bailey Gatzert,Beacon Hill Intl,4
Bailey Gatzert,John Muir,4
Bailey Gatzert,Madrona,4
